"Name","Code"
"BANK BRI",002
"BANK BRI SYARIAH",422
"BANK EKSPOR INDONESIA",003
"BANK MANDIRI",008
"BANK BNI",009
"BANK DANAMON,011
"PERMATA BANK",013
"BANK BCA",014
"BANK BII MAYBANK",016
"BANK PANIN",019
"BANK ARTA NIAGA KENCANA",020
"BANK CIMB NIAGA",022"
"BANK CIMB NIAGA SYARIAH",022
"BANK UOB INDONESIA",023
"TMRW BY BANK UOB INDONESIA",023
"BANK LIPPO",026
"BANK OCBC NISP",028
"BPR DANAGUNG ABADI",028
"BPR DANAGUNG BAKTI",028
"BPR DANAGUNG RAMULTI",028
"AMERICAN EXPRESS BANK LTD",030
"CITIBANK N.A.",031
"JP. MORGAN CHASE BANK,  N.A.",032
"BANK OF AMERICA,  N.A",033
"ING INDONESIA BANK",034
"BANK MULTICOR TBK.",036
"BANK ARTHA GRAHA INTERNASIONAL",037
"BANK CREDIT AGRICOLE INDOSUEZ",039
"THE BANGKOK BANK COMP. LTD",040
"THE HONGKONG & SHANGHAI B.C.",041
"THE BANK OF TOKYO MITSUBISHI UFJ LTD",042
"BANK SUMITOMO MITSUI INDONESIA",045
"DIGIBANK BY BANK DBS INDONESIA",046
"BANK RESONA PERDANIA",047
"BANK MIZUHO INDONESIA",048
"STANDARD CHARTERED BANK",050
"BANK ABN AMRO",052
"BANK KEPPEL TATLEE BUANA",053
"BANK CAPITAL INDONESIA, TBK.",054
"BANK BNP PARIBAS INDONESIA",057
"BANK UOB INDONESIA",058
"KOREA EXCHANGE BANK DANAMON",059
"RABOBANK INTERNASIONAL INDONESIA",060
"BANK ANZ INDONESIA",061
"DEUTSCHE BANK AG.",067
"BANK WOORI INDONESIA",068
"BANK OF CHINA LIMITED",069
"BANK BUMI ARTA",076
"Bank HSBC INDONESIA",087
"BANK EKONOMI",087
"BANK ANTARDAERAH",088
"BANK HAGA",089
"BANK IFI",093
"BANK J TRUST INDONESIA, TBK.",095
"BANK MAYAPADA",097
"BANK BJB",110
"BANK DKI JAKARTA",111
"BPD DIY",112
"BANK JATENG",113
"BANK JATIM",114
"BANK JAMBI",115
"BPD ACEH SYARIAH",116
"BANK SUMUT",117
"BANK NAGARI",118
"BANK RIAU KEPRI",119
"BANK SUMSEL BABEL",120
"BANK LAMPUNG",121
"BANK KALSEL",122
"BANK KALBAR",123
"BANK KALTIMTARA",124
"BANK KALTENG",125
"BANK SULSELBAR",126
"BANK SULUTGO",127
"BANK NTB",128
"BANK NTB SYARIAH",128
"BANK BPD BALI",129
"BANK NTT",130
"BANK MALUKU",131
"BANK PAPUA",132
"BANK BENGKULU",133
"BANK SULTENG",134
"BANK SULTRA",135
"BANK BPD BANTEN",137
"BANK NUSANTARA PARAHYANGAN",145
"BANK SWADESI",146
"BANK MUAMALAT",147
"BANK MESTIKA DHARMA",151
"BANK SHINHAN INDONESIA",152
"BANK SINAR MAS",153
"BANK MASPION INDONESIA",157
"BANK HAGAKITA",159
"BANK GANESHA",161
"BANK WINDU KENTJANA",162
"BANK ICBC INDONESIA",164
"BANK HARMONI INTERNATIONAL",166
"BANK QNB KESAWAN",167
"BANK TABUNGAN NEGARA (PERSERO)",200
"BANK WOORI SAUDARA,  TBK .",212
"BANK TABUNGAN PENSIUNAN NASIONAL",213
"JENIUS",213
"BANK SWAGUNA",405
"BANK JASA ARTA",422
"BANK BJB SYARIAH",425
"BANK MEGA",426
"BANK JASA JAKARTA",427
"BANK KB BUKOPIN",441
"BANK SYARIAH INDONESIA",451
"BANK BISNIS INTERNASIONAL",459
"BANK SRI PARTHA",466
"BANK JASA JAKARTA",472
"BANK HANA",484
"BANK MNC INTERNATIONAL",485
"BANK NEO COMMERCE",490
"BANK MITRANIAGA",491
"BANK RAYA",494
"BANK SBI INDONESIA",498
"BANK ROYAL INDONESIA",501
"BANK NATIONALNOBU", TBK.",503
"BANK MEGA SYARIAH",506
"BANK INA PERDANA",513
"BANK PANIN DUBAI SYARIAH",517
"PRIMA MASTER BANK",520
"BANK KB BUKOPIN SYARIAH",521
"BANK SAHABAT SAMPOERNA",523
"BANK AKITA",525
"BANK OKE INDONESIA",526
"ANGLOMAS INTERNASIONAL BANK",531
"SEABANK",535
"BANK BCA SYARIAH",536
"BANK JAGO",542
"BANK BTPN SYARIAH",547
"BANK MULTI ARTA SENTOSA",548
"BANK MAYORA INDONESIA",553
"BANK INDEX SELINDO",555
"BANK EKSEKUTIF",558
"CENTRATAMA NASIONAL BANK",559
"BANK FAMA INTERNASIONAL",562
"BANK MANDIRI TASPEN POS",564
"BANK VICTORIA INTERNATIONAL",566
"ALLO BANK",567
"BPR SUPRA ARTAPERSADA",600
"BPR KS (KARYAJATNIKA SEDAYA)",688
"INDOSAT DOMPETKU",789
"TELKOMSEL TCASH",911
"LINKAJA",911
"BANK IBK INDONESIA",945
"BANK MERINCORP",946
"BANK ALADIN SYARIAH",947
"BANK CTBC INDONESIA",949
"BANK COMMONWEALTH",950
